City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
8,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Sharjah,AE,75.18,dust,25.3573,55.4033,Swiss Belhotel Sharjah
19,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Itarema,BR,77.95,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
23,Bilma,NE,77.7,clear sky,18.6853,12.9164,Expeditions Ténére voyages
29,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
30,Teluk Intan,MY,77.02,heavy intensity rain,4.0259,101.0213,Angsoka Hotel Teluk Intan
31,Rikitea,PF,76.15,overcast clouds,-23.1203,-134.9692,People ThankYou
40,Eyl,SO,82.85,clear sky,7.9803,49.8164,Amiin Hotel
41,Isangel,VU,78.12,broken clouds,-19.55,169.2667,Tanna Lodge
43,Tattayyangarpettai,IN,83.55,overcast clouds,11.1333,78.45,Mariyamman hotel
57,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
60,Butaritari,KI,81.1,clear sky,3.0707,172.7902,Isles Sunset Lodge
66,Hilo,US,85.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Diu,IN,85.6,clear sky,20.7141,70.9822,Hotel Relax Inn
76,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
79,Bacolod,PH,86.47,scattered clouds,10.6667,122.95,Planta Hotel & Residences
81,Denpasar,ID,85.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
82,Kandrian,PG,87.46,overcast clouds,-6.2167,149.55,Kandrian Station
85,Kamakwie,SL,78.26,overcast clouds,9.5,-12.2333,White House Hotel
89,San Patricio,US,80.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Kavieng,PG,84.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
107,Mucuri,BR,75.13,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
109,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
112,Galle,LK,81.34,overcast clouds,6.0367,80.217,Amangalla
116,Sosua,DO,78.78,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
124,Meadow Lake,US,75.47,clear sky,34.8014,-106.5436,TumbleWeed RV Park
126,Sawakin,SD,82.26,clear sky,19.1059,37.3321,فندق الدويم
127,Mandali,IQ,79.63,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
130,Lorengau,PG,85.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
141,Jatiroto,ID,83.35,overcast clouds,-7.8833,111.1167,Mushola Al Huda
156,Raymondville,US,79.09,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
157,Labuhan,ID,85.5,overcast clouds,-6.8844,112.2051,DoubleFAG
159,Tabuk,PH,87.64,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
160,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
162,San Carlos,VE,78.78,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
163,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Bengkulu,ID,84.83,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Sao Filipe,CV,75.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
177,Yenagoa,NG,75.92,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
179,Georgetown,MY,87.73,light rain,5.4112,100.3354,Cititel Penang
185,Innisfail,AU,80.04,clear sky,-17.5333,146.0333,Moondarra Motel
187,Sompeta,IN,88.61,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
191,Sur,OM,85.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
196,Biak,ID,82.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
199,Touros,BR,77.07,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
202,Palm Coast,US,77.0,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
203,Puerto Escondido,MX,83.52,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
205,Shirdi,IN,83.91,clear sky,19.7667,74.4833,Shradha Saburi Palace
206,Kalmunai,LK,81.28,overcast clouds,7.4167,81.8167,VS Villa
208,Tautira,PF,80.58,few clouds,-17.7333,-149.15,Pension Oaoa
212,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
213,Balsas,BR,79.09,overcast clouds,-7.5325,-46.0356,Novo Hotel
214,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
217,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
226,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
230,Kirakira,SB,82.71,broken clouds,-10.4544,161.9205,SanBiz Lodge
231,Harper,LR,77.61,overcast clouds,4.375,-7.7169,Screensaver
238,Punto Fijo,VE,80.2,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
245,Samarai,PG,84.18,clear sky,-10.6167,150.6667,Nuli Sapi
248,Manggar,ID,87.57,overcast clouds,-2.8833,108.2667,Guest Hotel
250,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
254,Quang Ngai,VN,89.64,scattered clouds,15.1167,108.8,Central Hotel
256,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
257,Calderitas,MX,79.9,clear sky,18.55,-88.25,Hotel Hacienda Campestre
262,Coyah,GN,78.44,overcast clouds,9.75,-13.4167,Motel Canal+
263,Grand-Lahou,CI,77.23,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
265,Sampit,ID,87.85,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
266,Murud,IN,84.87,broken clouds,18.3258,72.965,On Point Plaza
278,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
279,Dingle,PH,88.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Waingapu,ID,85.28,clear sky,-9.6567,120.2641,Pondok Wisata Elim
288,Katobu,ID,87.82,overcast clouds,-4.9408,122.5276,La Ode Husein
290,Kavaratti,IN,80.64,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
291,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
294,Axim,GH,79.25,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
298,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
303,Vung Tau,VN,86.67,overcast clouds,10.346,107.0843,Seaside Resort
305,Sibolga,ID,86.0,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
308,Gigmoto,PH,87.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
