City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,73.69,83,40,8.05,scattered clouds
1,Tevriz,RU,57.509,72.4042,59.11,65,91,7.96,overcast clouds
2,Norman Wells,CA,65.282,-126.8329,39.24,65,100,18.41,overcast clouds
3,Kaitangata,NZ,-46.2817,169.8464,53.08,71,67,5.01,broken clouds
4,Thompson,CA,55.7435,-97.8558,42.96,93,100,3.44,mist
5,Mataura,NZ,-46.1927,168.8643,51.48,66,29,2.21,scattered clouds
6,Busselton,AU,-33.65,115.3333,61.29,59,100,8.61,overcast clouds
7,Atuona,PF,-9.8,-139.0333,78.31,79,10,17.45,light rain
8,Kapaa,US,22.0752,-159.319,82.38,70,0,14.97,clear sky
9,Provideniya,RU,64.3833,-173.3,36.28,92,100,8.97,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,57.9,76,0,8.05,clear sky
11,Raudeberg,NO,61.9875,5.1352,44.87,92,99,7.81,overcast clouds
12,Barrow,US,71.2906,-156.7887,30.22,86,0,19.57,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,41.11,87,20,4.61,few clouds
14,Lebu,CL,-37.6167,-73.65,48.11,74,0,6.71,clear sky
15,Yellowknife,CA,62.456,-114.3525,54.12,50,75,16.11,broken clouds
16,Mata,PT,40.683,-7.4592,59.59,86,68,6.87,broken clouds
17,Sharjah,AE,25.3573,55.4033,75.18,68,0,4.61,dust
18,Cherskiy,RU,68.75,161.3,27.66,76,98,17.65,overcast clouds
19,Vaini,TO,-21.2,-175.2,75.36,69,75,11.5,broken clouds
20,Sumbe,AO,-11.2061,13.8437,74.57,89,88,2.86,overcast clouds
21,Port Elizabeth,ZA,-33.918,25.5701,51.31,94,0,4.61,clear sky
22,Itarema,BR,-2.9248,-39.9167,77.95,90,56,10.63,broken clouds
23,Bilma,NE,18.6853,12.9164,77.7,25,0,12.68,clear sky
