City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-05-15 00:21:40,38.5167,-28.7,59.94,68,31,27.85
1,Busselton,AU,2022-05-15 00:21:41,-33.65,115.3333,58.73,67,100,4.76
2,Qaanaaq,GL,2022-05-15 00:21:42,77.484,-69.3632,15.26,76,74,4.61
3,Hermanus,ZA,2022-05-15 00:21:42,-34.4187,19.2345,56.21,79,8,7.92
4,Kavaratti,IN,2022-05-15 00:21:43,10.5669,72.642,80.89,82,100,21.56
5,Nyurba,RU,2022-05-15 00:21:44,63.2842,118.3319,41.31,55,92,1.97
6,Albany,US,2022-05-15 00:18:00,42.6001,-73.9662,74.05,72,98,4.25
7,Ushuaia,AR,2022-05-15 00:19:38,-54.8,-68.3,40.66,81,20,11.5
8,New Norfolk,AU,2022-05-15 00:21:44,-42.7826,147.0587,62.92,63,36,5.01
9,Kapaa,US,2022-05-15 00:21:45,22.0752,-159.319,82.38,73,20,13.8
10,Saskylakh,RU,2022-05-15 00:21:46,71.9167,114.0833,28.44,93,100,13.42
11,Haines Junction,CA,2022-05-15 00:21:46,60.7522,-137.5108,40.95,70,100,6.91
12,Mataura,NZ,2022-05-15 00:21:47,-46.1927,168.8643,50.49,69,77,3.27
13,Takoradi,GH,2022-05-15 00:21:08,4.8845,-1.7554,79.93,84,100,6.67
14,Tartagal,AR,2022-05-15 00:21:48,-22.5164,-63.8013,59.34,93,99,0.36
15,Rikitea,PF,2022-05-15 00:21:48,-23.1203,-134.9692,76.53,72,20,21.3
16,Hudson Bay,CA,2022-05-15 00:21:49,52.85,-102.3842,39.47,94,100,10.09
17,Bluff,NZ,2022-05-15 00:21:50,-46.6,168.3333,50.81,71,76,9.73
18,Nome,US,2022-05-15 00:21:50,64.5011,-165.4064,35.67,69,100,9.22
19,Atuona,PF,2022-05-15 00:20:00,-9.8,-139.0333,78.04,79,48,17.52
20,Mabaruma,GY,2022-05-15 00:21:52,8.2,-59.7833,75.43,87,86,4.68
21,Kalnciems,LV,2022-05-15 00:21:53,56.8011,23.6097,48.25,93,78,7.43
22,Neiafu,TO,2022-05-15 00:21:53,-18.65,-173.9833,79.48,65,40,5.75
23,East London,ZA,2022-05-15 00:21:54,-33.0153,27.9116,61.03,78,33,4.05
24,Jamestown,US,2022-05-15 00:18:02,42.097,-79.2353,73.04,60,40,0.0
25,Sao Filipe,CV,2022-05-15 00:21:55,14.8961,-24.4956,75.79,69,100,7.72
26,San Andres,CO,2022-05-15 00:21:55,12.5847,-81.7006,80.62,89,75,6.91
27,Geraldton,AU,2022-05-15 00:21:56,-28.7667,114.6,59.41,88,75,3.44
28,Sao Miguel Do Araguaia,BR,2022-05-15 00:21:57,-13.275,-50.1628,76.64,49,85,1.66
29,Poum,NC,2022-05-15 00:21:58,-20.2333,164.0167,77.54,75,74,15.84
30,Beringovskiy,RU,2022-05-15 00:21:58,63.05,179.3167,40.98,82,100,4.09
31,Kodiak,US,2022-05-15 00:18:21,57.79,-152.4072,53.11,40,20,12.66
32,Puerto Ayora,EC,2022-05-15 00:21:59,-0.7393,-90.3518,72.55,95,85,1.01
33,Taoudenni,ML,2022-05-15 00:22:00,22.6783,-3.9836,83.95,9,7,11.56
34,Kattivakkam,IN,2022-05-15 00:22:01,13.2167,80.3167,84.29,88,98,11.52
35,Tasiilaq,GL,2022-05-15 00:22:01,65.6145,-37.6368,26.76,77,100,3.15
36,Yellowknife,CA,2022-05-15 00:22:02,62.456,-114.3525,59.56,36,75,15.01
37,Hilo,US,2022-05-15 00:22:03,19.7297,-155.09,87.28,76,75,12.66
38,Vratnica,MK,2022-05-15 00:22:03,42.1433,21.1169,56.93,83,51,2.66
39,Antofagasta,CL,2022-05-15 00:18:00,-23.65,-70.4,58.28,81,27,4.81
40,Cape Town,ZA,2022-05-15 00:18:15,-33.9258,18.4232,60.91,76,0,11.01
41,Caravelas,BR,2022-05-15 00:22:05,-17.7125,-39.2481,74.23,74,100,7.72
42,Nuuk,GL,2022-05-15 00:22:06,64.1835,-51.7216,25.41,93,100,10.36
43,Punta Arenas,CL,2022-05-15 00:21:45,-53.15,-70.9167,44.71,81,20,14.97
44,Berberati,CF,2022-05-15 00:23:07,4.2612,15.7922,69.28,92,65,0.85
45,Kaitangata,NZ,2022-05-15 00:23:07,-46.2817,169.8464,51.93,69,72,6.06
46,Esperance,AU,2022-05-15 00:22:31,-33.8667,121.9,51.64,72,92,16.17
47,Vaini,TO,2022-05-15 00:23:08,-21.2,-175.2,78.96,65,75,10.36
48,Sokolo,ML,2022-05-15 00:23:09,14.7328,-6.1219,89.83,11,8,12.91
49,Kamenka,RU,2022-05-15 00:18:46,51.3223,42.7678,49.8,95,96,5.17
50,Vardo,NO,2022-05-15 00:23:10,70.3705,31.1107,37.38,93,100,4.61
51,Nikolskoye,RU,2022-05-15 00:22:39,59.7035,30.7861,44.8,97,80,4.65
52,Dikson,RU,2022-05-15 00:22:43,73.5069,80.5464,30.56,87,100,3.38
53,Sobolevo,RU,2022-05-15 00:23:11,54.4299,31.8996,44.46,95,92,8.21
54,Zhangjiakou,CN,2022-05-15 00:23:05,40.81,114.8794,55.83,24,4,5.73
